question_id,question_de,question_en,row_count,survey_ids,sample_answer_values,answer_options_en,answer_options_de,n_answer_options,duplicate_count
37171,"Vielen Dank für Deine Angaben! Bitte bestätige, dass:  - Du bereits über eine Kombination aus Bewegung, Ernährung und Verhaltensänderung versuchst hast, gegen Dein Übergewicht anzuarbeiten.  - Du alle Fragen wahrheitsgemäß beantwortest hast. Für aus falschen Angaben resultierende Gesundheitsfolgen übernehmen wir keine Haftung. Ist diese Behandlung sicher? Der eingesetzte Wirkstoff Semaglutid wurde in Studien untersucht und in dessen Wirksamkeit belegt. Das Medikament ist grundsätzlich gut verträglich. Wie bei jedem Medikament kann es jedoch auch hier zu unerwünschten Nebenwirkungen kommen, darunter (anfängliche) Magen-Darm-Beschwerden, Müdigkeit oder Schlafstörungen.   Darüber hinaus kann es während der Anwendung zu einer Unterzuckerung kommen. Typische Symptome sind kalter Schweiß, kühle blasse Haut, Kopfschmerzen, schneller Herzschlag, Übelkeit oder Schwäche. Um solche Symptome vorzubeugen solltest Du stets ein Traubenzucker bei dir haben und bei ersten Symptomen einnehmen.  Eine gelegentliche Nebenwirkung ist eine Bauchspeicheldrüsenentzündung (Symptome sind Schmerzen oder Verhärtung des Oberbauches, Übelkeit und Fieber). In diesem Fall sollte sofort ein Arzt aufgesucht werden.   Bei Nebenwirkungen oder Unsicherheiten sind unsere Ärzt:innen für Dich da. Bitte informiere zusätzlich Deine/n HausarztIn, sobald du das Medikament anwendest.","Thank you for your details! Please confirm that:  - You have already tried a combination of exercise, diet and behavioural change to tackle your excess weight.  - You have answered all questions truthfully. We accept no liability for any health consequences resulting from incorrect information. Is this treatment safe? The active ingredient semaglutide has been investigated in studies and its efficacy has been proven. The drug is generally well tolerated. However, as with any drug, undesirable side effects may occur, including (initial) gastrointestinal discomfort, fatigue or sleep disturbances.   In addition, hypoglycemia may occur during use. Typical symptoms are cold sweat, cool pale skin, headache, fast heartbeat, nausea or weakness. To prevent such symptoms you should always have a glucose with you and take it at the first symptoms.  An occasional side effect is pancreatitis (symptoms are pain or hardening of the upper abdomen, nausea and fever). In this case, a doctor should be consulted immediately.   In case of side effects or uncertainties, our doctors are there for you. In addition, please inform your family doctor as soon as you start using the medication.",22,[1236],['Ich verstehe und bestätige.'],['I understand and confirm.'],['Ich verstehe und bestätige.'],1,19
37189,"Die medikamentöse Behandlung sollte nicht die erste Wahl im Kampf gegen Übergewicht sein - zuerst solltest Du es mit einer Kombination aus Bewegung, Ernährung und Verhaltensänderungen versuchen. Bitte kontaktiere Deinen Hausarzt, um eine ganzheitliche Behandlung gegen Übergewicht zu starten.","Drug treatment should not be your first choice in the fight against obesity - first you should try a combination of exercise, diet and behavioral changes. Please contact your family doctor to start a holistic treatment against overweight.",2,[1236],['Ich verstehe und bestätige.'],['I understand and confirm.'],['Ich verstehe und bestätige.'],1,13
37190,"Hast Du mit einer Lifestyle-Veränderung (z.B. Ernährungsumstellung, Bewegung) deine Gewichtsabnahmeziele* erreicht? INFO BOX: *Verlust von mind. 5 % des Gesamtkörpergewichts nach 3 bis 6 Monaten","Have you achieved your weight loss goals* with a lifestyle change (e.g. change in diet, exercise)? INFO BOX: *Loss of at least 5 % of total body weight after 3 to 6 months",36,[1236],"['Nein, ich habe meine Gewichtsabnahmeziele nicht erreicht.', 'Ja, ich habe meine Gewichtsabnahmeziele erreicht.']","['No,      I did not meet my weight loss goals.', 'Yes,      I met my weight loss goals']","['Ja, ich habe meine Gewichtsabnahmeziele erreicht.', 'Nein, ich habe meine Gewichtsabnahmeziele nicht erreicht.']",2,1
37198,Trifft eine der folgenden Konditionen auf Dich zu?,Do any of the following conditions apply to you?,36,[1236],"['[""Keine der genannten""]', '[""Ich habe gastroösophagealen Reflux""]']","['I have gastroesophageal reflux', 'None of the above"".']","['Ich habe gastroösophagealen Reflux', 'Keine der genannten']",2,30
37204,Nimmst Du aktuell eines der folgenden Medikamente ein?,Are you currently taking any of the following medications?,36,[1236],"['[""Keine der genannten""]']",['None of the above'],['Keine der genannten'],1,47
37206,Trifft eine der folgenden Konditionen auf Dich zu?,Do you suffer from any of the following conditions?,36,[1236],"['[""Keine der genannten""]']",['None of the above'],['Keine der genannten'],1,67
37208,Leidest Du unter einer der folgenden Erkrankungen?,Do you suffer from any of the following conditions?,36,[1236],['Keine der genannten'],['None of the above'],['Keine der genannten'],1,67
37210,Ist eine der folgenden Erkrankungen schon einmal bei Dir aufgetreten (in der Vergangenheit oder aktuell)?,Have you ever had any of the following conditions (past or present)?,36,[1236],"['[""Keine der genannten""]']",['None of the above'],['Keine der genannten'],1,25
37213,"Damit unser Ärzteteam Deine Behandlungs-Anfrage prüfen und Dich optimal beraten kann, benötigen wir folgende Dokumente: Ein Ganzkörperfoto Ein Foto der Seite Deines Personalausweises oder Reisepasses, auf der Dein Geburtsdatum und Dein Foto abgebildet sind. Du kannst die Fotos jetzt oder später hochladen. Wir erinnern Dich per E-Mail.","We need the following documents so that our Medical Team can check your treatment enquiry and give you the best possible advice: A full body photo A  photo of the page of your identity card or passport that shows your date of birth and your photo. You can upload the photos now or later. We will remind you by e-mail. Your data will be treated in strict confidence and stored in accordance with the statutory provisions. They are only accessible to you and your treating Doctor. If you have any questions, please contact us at kontakt@golighter.de",36,[1236],"['Foto sofort hochladen', 'Später hochladen']","['Später hochladen', 'Upload photo immediately']","['Foto sofort hochladen', 'Später hochladen']",2,9
37215,"Bitte lade jetzt ein Ganzkörperfoto hoch. Achte darauf, dass Dein Ganzkörperfoto folgende Voraussetzungen erfüllt:",Please upload a full-body photo now. Make sure that your full-body photo fulfils the following requirements. Tip: Use a full-length mirror so that important areas of your body are not covered or cut off.  Your photos will be treated confidentially and will only be visible to you and the Doctor treating you.,36,[1236],"['9mGMQQnrA8UHZQaFYa7eraAr', 'w7wxaaqK15ZEifdswNY2uds7', 'ydDfyaXWpcUgc2KbTwGDzCR3', 'Qx5eyoeibeiwEGfEMua8Jexa', 'j2GFxV4JVKJx1WT7Ypgdxj4F']",[],[],0,5
37217,Bitte lade jetzt ein Foto der Vorderseite Deines Personalausweises (oder Reisepasses) hoch. Deine Fotos werden vertraulich behandelt und sind nur für Dich und den behandelnden Arzt sichtbar.,Please upload a photo of the front of your identity card (or passport). Your photos will be treated confidentially and will only be visible to you and the Doctor treating you.,36,[1236],"['89Are1A6sGP3LS8jYcFcoB48', 'kfguBPnQW7X4mdSiKJ3QbGmL', '6HThV1c2nAqXwmSsfPUhinoj', 'EpC4yxUScWJnLyCVvDFKKDze', 'FASL97rw9CW2QSDjDa5BsFc1']",[],[],0,26
37219,"Vielen Dank für Deine Angaben! Bitte bestätige, dass:  - Du nach dem Check-out ein Ganzkörperbild von Dir hochlädst zur finalen ärztlichen Bewertung.  - Du bereits über eine Kombination aus Bewegung, Ernährung und Verhaltensänderung versuchst hast, gegen Dein Übergewicht anzuarbeiten.  - Du alle Fragen wahrheitsgemäß beantwortest hast. Für aus falschen Angaben resultierende Gesundheitsfolgen übernehmen wir keine Haftung. Ist diese Behandlung sicher? Der eingesetzte Wirkstoff Semaglutid wurde in Studien untersucht und in dessen Wirksamkeit belegt. Das Medikament ist grundsätzlich gut verträglich. Wie bei jedem Medikament kann es jedoch auch hier zu unerwünschten Nebenwirkungen kommen, darunter (anfängliche) Magen-Darm-Beschwerden, Müdigkeit oder Schlafstörungen.   Darüber hinaus kann es während der Anwendung zu einer Unterzuckerung kommen. Typische Symptome sind kalter Schweiß, kühle blasse Haut, Kopfschmerzen, schneller Herzschlag, Übelkeit oder Schwäche. Um solche Symptome vorzubeugen solltest Du stets ein Traubenzucker bei dir haben und bei ersten Symptomen einnehmen.  Eine gelegentliche Nebenwirkung ist eine Bauchspeicheldrüsenentzündung (Symptome sind Schmerzen oder Verhärtung des Oberbauches, Übelkeit und Fieber). In diesem Fall sollte sofort ein Arzt aufgesucht werden.   Bei Nebenwirkungen oder Unsicherheiten sind unsere Ärzt:innen für Dich da. Bitte informiere zusätzlich Deine/n HausarztIn, sobald du das Medikament anwendest.","Thank you for your details! Please confirm that:  - You will upload a full body photo of yourself after check-out for final medical assessment.  - You have already tried a combination of exercise, diet and behavioural change to tackle your excess weight.  - You have answered all questions truthfully. We accept no liability for any health consequences resulting from incorrect information. Is this treatment safe? The active ingredient Semaglutide has been investigated in studies and its efficacy has been proven. The drug is generally well tolerated. However, as with any drug, undesirable side effects may occur, including (initial) gastrointestinal discomfort, fatigue or sleep disturbances.   In addition, hypoglycemia may occur during use. Typical symptoms are cold sweat, cool pale skin, headache, fast heartbeat, nausea or weakness. To prevent such symptoms you should always have a glucose with you and take it at the first symptoms.  An occasional side effect is pancreatitis (symptoms are pain or hardening of the upper abdomen, nausea and fever). In this case, a doctor should be consulted immediately.   In case of side effects or uncertainties, our Doctors are there for you. In addition, please inform your family Doctor as soon as you start using the medication.",17,[1236],['Ich verstehe und bestätige.'],['I understand and confirm.'],['Ich verstehe und bestätige.'],1,12
41188,Wie lauten Deine aktuellen Blutdruckwerte?,What are your current blood pressure readings?,1,[1319],['Normal - Zwischen 90/60 - 140/90'],['Normal - Between 90/60 - 140/90'],['Normal - Zwischen 90/60 - 140/90'],1,60
41190,"Nimmst Du seit Deiner letzten Verschreibung neue, verschreibungspflichtige Medikamente ein (mit Ausnahme von Medikamenten gegen Erektionsstörungen)?",Are you taking any new prescription medicines since your last prescription (except ED-medication)?,1,[1319],['Nein'],['No'],['Nein'],1,5
41191,Glück,Go on,1,[1319],['Jetzt GoLighter nachbestellen'],['Go on'],['Jetzt GoLighter nachbestellen'],1,1
41193,Wurde seit Deiner letzten Verschreibung eine neue Erkrankung oder medizinische Kondition bei Dir festgestellt?,Have you been diagnosed with a new disease or medical condition since your last prescription?,1,[1319],['Nein'],['No'],['Nein'],1,37
41200,Wie regelmäßig hast Du Dir das Medikament injiziert?,How regularly did you inject the medicine?,1,[1319],['Regelmäßig 1 x täglich'],['Regelmäßig 1 x täglich'],['Regelmäßig 1 x täglich'],1,19
41221,"Hast Du parallel zu dem GoLighter Medikament weitere Maßnahmen angewendet, um Gewicht zu verlieren?",Have you taken other measures to lose weight in parallel with the GoLighter medication?,2,[1319],"['[""Sport"",""Ernährungsberatung""]']","['Dietary advice', 'Exercise']","['Ernährungsberatung', 'Sport']",2,1
41224,"Wir benötigen Deine Körpergröße und Dein Gewicht, um Deinen aktuellen BMI-Wert zu berechnen.",We need your height and weight to calculate your current BMI value.,1,[1319],"['{""bmi"":29.000594883997625,""height"":164,""weight"":78}']",[],[],0,37
41233,Treffen folgende Aussagen auf Dich zu?,Do the following statements apply to you?,1,[1319],"['[""Ich fühle mich aktiver/fitter""]']",['I feel more active/fitter'],['Ich fühle mich aktiver/fitter'],1,49
41237,Sind folgende Nebenwirkungen seit der Anwendung des Medikaments neu aufgetreten? (1 / 2),Have the following side effects occurred since you started using the medicine? (1 / 2),1,[1319],"['[""Keine Nebenwirkungen""]']",['No side effects'],['Keine Nebenwirkungen'],1,19
41248,Sind folgende Nebenwirkungen seit der Anwendung des Medikaments neu aufgetreten? (2 / 2),Have the following side effects occurred since you started using the medicine? (2 / 2),1,[1319],"['[""Keine Nebenwirkungen""]']",['No side effects'],['Keine Nebenwirkungen'],1,37
41256,"Deine Gesundheit steht für uns an 1. Stelle. Bitte bestätige, dass Du alle Fragen nach bestem Wissen beantwortet hast.   Bitte bestätige, dass Du bei hier nicht genannten oder schwerwiegenden Nebenwirkungen schnellstmöglich einen niedergelassenen Arzt aufsuchen wirst. Informiere im Anschluss gerne das GoLighter Ärzteteam unter: arzt@golighter.de","Your health is our first priority. Please confirm that you have answered all questions to the best of your knowledge.  Please confirm that you will consult a registered Doctor as soon as possible if you experience any side effects not mentioned here or if they are serious. Afterwards, please inform the GoLighter medical team at: arzt@golighter.de",1,[1319],['Ich verstehe und bestätige'],['I understand and confirm'],['Ich verstehe und bestätige'],1,2
41278,Ist zusätzlich zu dem schnellen Gewichtsverlust innerhalb der letzten Wochen eines der folgenden Symptome bei Dir aufgetreten?,"In addition to fast weight loss, have you experienced any of the following symptoms within the past few weeks?",1,[1319],"['[""Nichts davon""]']",['None of the above'],['Nichts davon'],1,34
41281,Führst Du die Medikamentenanwendung lückenlos durch?,Do you take the medication without gaps?,1,[1319],['Ich wende das Medikament lückenlos an.'],['I use the medication without any gaps.'],['Ich wende das Medikament lückenlos an.'],1,37
46892,"Bitte trage Deine Größe und Dein Gewicht ein, damit wir Deinen BMI* berechnen und Deine Eignung für Wegovy® prüfen können. * Die Wegovy Behandlung ist ab einem BMI von min. 27 geeignet.",Please enter your height and weight so that we can calculate your BMI* and check your suitability for Wegovy®. The Wegovy treatment is suitable from a BMI of min. 27.,38,[1422],"['{""bmi"":32.987916382803256,""height"":167,""weight"":92}', '{""bmi"":31.073540713020815,""height"":173,""weight"":93}', '{""bmi"":41.87327823691461,""height"":165,""weight"":114}', '{""bmi"":30.555555555555554,""height"":180,""weight"":99}', '{""bmi"":33.98437499999999,""height"":160,""weight"":87}']",[],[],0,19
46895,Der Wirkstoff Semaglutid hat sich in Studien als wirksam und gut verträglich erwiesen. Wie bei jedem Medikament können jedoch Nebenwirkungen auftreten. Ist bei Dir in der Vergangenheit eine der folgenden Nebenwirkungen aufgetreten?,"The active ingredient semaglutide has proven to be effective and well tolerated in studies. However, as with any medication, side effects can occur. Have you experienced any of the following side effects in the past?",4,[1422],"['Ich hatte keine schweren Nebenwirkungen, aufgrund derer ich die Behandlung abgebrochen habe.']",['I did not have severe side effects due to which I discontinued treatment.'],"['Ich hatte keine schweren Nebenwirkungen, aufgrund derer ich die Behandlung abgebrochen habe.']",1,10
46896,Wie häufig treibst Du Sport?,How often do you do sports?,38,[1422],"['Selten', 'Einmal pro Woche', 'Gar nicht', 'Mehrmals pro Woche']","['Not at all', 'Once a week', 'Rarely', 'Several times a week']","['Einmal pro Woche', 'Gar nicht', 'Mehrmals pro Woche', 'Selten']",4,39
46897,Wie lauten Deine aktuellen Blutdruckwerte?,What are your current blood pressure readings?,38,[1422],"['Hoch - Über 140/90', 'Normal - Zwischen 90/60 - 140/90']","['High 140/90', 'Normal 90/60 - 140/90']","['Hoch - Über 140/90', 'Normal - Zwischen 90/60 - 140/90']",2,60
46898,Hast Du in der Vergangenheit Medikamente mit dem Wirkstoff Liraglutid oder Semaglutid gegen Übergewicht verwendet?,Have you used medications with the active ingredient liraglutide or semaglutide for obesity in the past?,38,[1422],"['Nein', 'Ja, ich habe damit weniger als 4% Körpergewicht in 3 Monaten verloren', 'Ja, ich habe damit mehr als 4% Körpergewicht in 3 Monaten verloren']","['No', 'Yes,       I lost less than 4% body weight in 3 months with it', 'Yes,       I lost more than 4% body weight in 3 months with it']","['Ja, ich habe damit mehr als 4% Körpergewicht in 3 Monaten verloren', 'Ja, ich habe damit weniger als 4% Körpergewicht in 3 Monaten verloren', 'Nein']",3,25
46900,Aufgrund Deines BMI bist Du für Wegovy geeignet. Wie lange hast Du schon Gewichtsprobleme?,Your BMI makes you suitable for Wegovy. How long have you had weight problems?,38,[1422],"['Mehr als 5 Jahre', 'Seit der Kindheit oder Jugend', '1-5 Jahre', 'Weniger als 1 Jahr']","['1-5 years', 'Less than 1 year', 'More than 5 years', 'Since childhood or adolescence']","['1-5 Jahre', 'Mehr als 5 Jahre', 'Seit der Kindheit oder Jugend', 'Weniger als 1 Jahr']",4,20
46901,Leidest Du unter weiteren Vorerkrankungen oder nimmst verschreibungspflichtige Medikamente ein?,Are you suffering from other pre-existing conditions or taking prescription medication?,38,[1422],"['Nein', 'Ja']","['No', 'Yes']","['Ja', 'Nein']",2,60
46904,Hast Du in der Vergangenheit andere Maßnahmen für eine Gewichtsabnahme ergriffen?,Have you taken other weight loss measures in the past?,38,[1422],"['Diät - eigene Diät oder ein Programm', 'Nein', 'Sport', 'Krankenhausaufenthalt oder Kur oder Reha', 'Anderes']","['Diet - own diet or a program', 'Exercise', 'Hospitalization or spa or rehab', 'No', 'Other']","['Anderes', 'Diät - eigene Diät oder ein Programm', 'Krankenhausaufenthalt oder Kur oder Reha', 'Nein', 'Sport']",5,41
46914,"Vielen Dank für Deine Angaben! Bitte bestätige, dass:  - Du bereits über eine Kombination aus Bewegung, Ernährung und Verhaltensänderung versuchst hast, gegen Dein Übergewicht anzuarbeiten.  - Du alle Fragen wahrheitsgemäß beantwortest hast. Für aus falschen Angaben resultierende Gesundheitsfolgen übernehmen wir keine Haftung. Ist diese Behandlung sicher? Der eingesetzte Wirkstoff Semaglutid wurde in Studien untersucht und in dessen Wirksamkeit belegt. Das Medikament ist grundsätzlich gut verträglich. Wie bei jedem Medikament kann es jedoch auch hier zu unerwünschten Nebenwirkungen kommen, darunter (anfängliche) Magen-Darm-Beschwerden, Müdigkeit oder Schlafstörungen.   Darüber hinaus kann es während der Anwendung zu einer Unterzuckerung kommen. Typische Symptome sind kalter Schweiß, kühle blasse Haut, Kopfschmerzen, schneller Herzschlag, Übelkeit oder Schwäche. Um solche Symptome vorzubeugen solltest Du stets ein Traubenzucker bei dir haben und bei ersten Symptomen einnehmen.  Eine gelegentliche Nebenwirkung ist eine Bauchspeicheldrüsenentzündung (Symptome sind Schmerzen oder Verhärtung des Oberbauches, Übelkeit und Fieber). In diesem Fall sollte sofort ein Arzt aufgesucht werden.   Bei Nebenwirkungen oder Unsicherheiten sind unsere Ärzt:innen für Dich da. Bitte informiere zusätzlich Deine/n HausarztIn, sobald du das Medikament anwendest.","Thank you for your details! Please confirm that:  - You have already tried a combination of exercise, diet and behavioural change to tackle your excess weight.  - You have answered all questions truthfully. We accept no liability for any health consequences resulting from incorrect information. Is this treatment safe? The active ingredient semaglutide has been investigated in studies and its efficacy has been proven. The drug is generally well tolerated. However, as with any drug, undesirable side effects may occur, including (initial) gastrointestinal discomfort, fatigue or sleep disturbances.   In addition, hypoglycemia may occur during use. Typical symptoms are cold sweat, cool pale skin, headache, fast heartbeat, nausea or weakness. To prevent such symptoms you should always have a glucose with you and take it at the first symptoms.  An occasional side effect is pancreatitis (symptoms are pain or hardening of the upper abdomen, nausea and fever). In this case, a doctor should be consulted immediately.   In case of side effects or uncertainties, our doctors are there for you. In addition, please inform your family doctor as soon as you start using the medication.",24,[1422],['Ich verstehe und bestätige.'],['I understand and confirm.'],['Ich verstehe und bestätige.'],1,19
46932,"Die medikamentöse Behandlung sollte nicht die erste Wahl im Kampf gegen Übergewicht sein - zuerst solltest Du es mit einer Kombination aus Bewegung, Ernährung und Verhaltensänderungen versuchen. Bitte kontaktiere Deinen Hausarzt, um eine ganzheitliche Behandlung gegen Übergewicht zu starten.","Drug treatment should not be your first choice in the fight against obesity - first you should try a combination of exercise, diet and behavioral changes. Please contact your family doctor to start a holistic treatment against overweight.",3,[1422],['Ich verstehe und bestätige.'],['I understand and confirm.'],['Ich verstehe und bestätige.'],1,13
46941,Trifft eine der folgenden Konditionen auf Dich zu?,Do any of the following conditions apply to you?,38,[1422],"['[""Keine der genannten""]']","['None of the above"".']",['Keine der genannten'],1,30
46947,Nimmst Du aktuell eines der folgenden Medikamente ein?,Are you currently taking any of the following medications?,38,[1422],"['[""Keine der genannten""]']",['None of the above'],['Keine der genannten'],1,47
46949,Trifft eine der folgenden Konditionen auf Dich zu?,Do you suffer from any of the following conditions?,38,[1422],"['[""Keine der genannten""]']",['None of the above'],['Keine der genannten'],1,67
46951,Leidest Du unter einer der folgenden Erkrankungen?,Do you suffer from any of the following conditions?,38,[1422],['Keiner der genannten'],['None of the above'],['Keiner der genannten'],1,67
46953,Ist eine der folgenden Erkrankungen schon einmal bei Dir aufgetreten (in der Vergangenheit oder aktuell)?,Have you ever had any of the following conditions (past or present)?,38,[1422],"['[""Keine der genannten""]']",['None of the above'],['Keine der genannten'],1,25
46956,"Für die Prüfung Deiner Anfrage benötigt das Ärzteteam: - 1 Ganzkörperfoto  - 1 Foto Deines Personalausweises / Reisepasses (Seite mit Geburtsdatum & Foto)  Lade die Fotos jetzt oder später hoch – wir erinnern Dich per E-Mail. Für die Prüfung Deiner Anfrage benötigt das Ärzteteam: - 1 Ganzkörperfoto. - 1 Foto Deines Personalausweises / Reisepasses (Seite mit Geburtsdatum & Foto). Lade die Fotos jetzt oder später hoch – wir erinnern Dich per E-Mail. Deine Daten werden vertraulich behandelt, entsprechend den gesetzlichen Bestimmungen gespeichert und sind nur Dir und dem behandelnden Arzt zugänglich. Bei Fragen wende Dich bitte an kontakt@golighter.de","To check your enquiry, the Medical Team needs - 1 full body photo. - 1 photo of your identity card / passport (page with date of birth & photo). Upload the photos now or later - we will remind you by e-mail. Your data will be treated confidentially, stored in accordance with legal requirements and will only be accessible to you and the Doctor treating you. If you have any questions, please contact kontakt@golighter.de",38,[1422],"['Später hochladen', 'Foto sofort hochladen']","['Upload photo immediately', 'Upload photo later']","['Foto sofort hochladen', 'Später hochladen']",2,16
46958,"Lade bitte 1 Ganzkörperfoto hoch, das folgende Kriterien erfüllt. Tipp: Nutze einen Ganzkörperspiegel, damit alle Körperbereiche sichtbar sind.  Deine Fotos bleiben vertraulich und sind nur Dir und dem behandelnden Arzt zugänglich.",Please upload 1 full-body photo that fulfils the following criteria. Tip: Use a full-length mirror so that all parts of your body are visible.  Your photos will remain confidential and will only be accessible to you and the Doctor treating you.,38,[1422],"['v1RLcvBsSASWLCqF4murT6pw', 'nFMKHEEKyNR9mwYv2dXHASpy', 'JLnJEHoKuzNiBdCRFxw6pHtr', 'EWTC4yaiE7Uw6cLwXBTVr1mz', 'n4tn3WhwVVTXcma8jLbN7bxf']",[],[],0,16
46960,Bitte lade jetzt ein Foto der Vorderseite Deines Personalausweises (oder Reisepasses) hoch. Deine Fotos werden vertraulich behandelt und sind nur für Dich und den behandelnden Arzt sichtbar.,Please upload a photo of the front of your identity card (or passport). Your photos will be treated confidentially and will only be visible to you and the Doctor treating you.,38,[1422],"['htqxL4ATTyQGvFpfra7Zm9YU', '6K1Rc2PxnARX5RdK9yAsLaa9', 'aqAMWsKb31YpFnaYyztbTwa2', 'QU3xkG3Gqt2cHhwuS1kjpzBH', 'SqrPs279KQPFNSMNxwRF7U1o']",[],[],0,26
