question_id,answer_id,answer_de,answer_en,row_count
46914,87361,Ich verstehe und bestätige.,I understand and confirm.,24
46932,87362,Ich verstehe und bestätige.,I understand and confirm.,3
46941,87367,Keine der genannten,"None of the above"".",38
46947,87369,Keine der genannten,None of the above,38
46949,87378,Keine der genannten,None of the above,38
46951,140243,Keiner der genannten,None of the above,38
46953,87393,Keine der genannten,None of the above,38
46956,87397,Foto sofort hochladen,Upload photo immediately,24
46956,87398,Später hochladen,Upload photo later,14
46962,87401,Ich verstehe und bestätige.,I understand and confirm.,19
49851,97052,Prädiabetes,Prediabetes,1
49851,97055,Erhöhung des Cholesterins und / oder der Triglyceriden im Blut,Elevation of Cholesterol and / or Triglycerides in the Blood,2
49851,97057,Keine der genannten,None of the Above,1
49859,97071,Prädiabetes,Prediabetes,2
49859,97072,obstruktive Schlafapnoe,Obstructive Sleep Apnoea,1
49859,97073,Dyslipidämie,Dyslipidaemia,1
49859,97074,Erhöhung des Cholesterins und / oder der Triglyceriden im Blut,Elevation of Cholesterol and / or Triglycerides in the Blood,4
49859,97076,Keine der genannten,None of the Above,2
54320,107617,Prädiabetes,Prediabetes,5
54320,107618,Obstruktive Schlafapnoe,Obstructive sleep apnoea,1
54320,107619,Dyslipidämie (Fettstoffwechselstörung),Dyslipidaemia (lipid metabolism disorder),1
54320,107620,Erhöhte Cholesterin- und / oder Triglyceridwerte,Elevated cholesterol and/or triglyceride levels,5
54320,107622,Keine der genannten,None of the above,65
54321,107607,Prädiabetes,Prediabetes,6
54321,107608,Obstruktive Schlafapnoe,Obstructive sleep apnoea,3
54321,107609,Dyslipidämie (Fettstoffwechselstörung),Dyslipidaemia (lipid metabolism disorder),1
54321,107610,Erhöhte Cholesterin- und / oder Triglyceridwerte,Elevated cholesterol and/or triglyceride levels,7
54321,107611,Niedriger HDL-Cholesterinspiegel,Low HDL cholesterol level,1
54321,107612,Keine der genannten,None of the above,3
54322,107614,1-5 Jahre,1-5 years,17
54322,107615,Mehr als 5 Jahre,More than 5 years,44
54322,107616,Seit der Kindheit oder Jugend,Since childhood or adolescence,28
54324,107623,Nein,No,81
54324,107624,"Ja, ich habe damit weniger als 4 % Körpergewicht in 3 Monaten verloren.","Yes,  I lost less than 4% of my body weight in 3 months.",4
54324,107625,"Ja, ich habe damit mehr als 4 % Körpergewicht in 3 Monaten verloren.","Yes,  I lost more than 4% of my body weight in 3 months.",4
54325,107645,"Ich hatte keine schwerwiegenden Nebenwirkungen, die mich dazu veranlasst haben, die Behandlung abzubrechen.",I had no serious side effects that caused me to discontinue treatment.,9
54326,107627,Diät - eigene Diät oder ein Programm,Diet - own diet or a programme,77
54326,107628,Sport,Sport,70
54326,107629,Medikamente,Medication,6
54326,107630,Ernährungsberatung,Nutritional advice,29
54326,107631,Hypnose,Hypnosis,6
54326,107632,Abnehm-App,Weight loss app,39
54326,107638,Anderes,Other,4
54326,107640,"Krankenhausaufenthalt,   Kur oder Reha","Hospital stay,     cure or rehab",3
54328,146321,"Ja, ich habe mindestens 5 % meines gewichts verloren.","Yes,  I have lost at least 5% of my body weight.",10
54328,146322,"Nein, ich habe weniger als 5 % meines gewichts verloren.","No,  I have lost less than 5% of my body weight.",79
54332,107734,Täglich,Daily,2
54332,107735,Mehrmals pro Woche,Several times a week,39
54332,107736,Einmal pro Woche,Once a week,29
54332,107737,Selten,Rarely,17
54332,107738,Gar nicht,Not at all,2
54359,107740,Normal: 90/60 bis 140/90,Normal: 90/60 to 140/90,79
54359,107741,Hoch: Über 140/90,High: Over 140/90,10
54360,107751,Ich habe gastroösophagealen Reflux (Rückfluss von Magensäure in die Speiseröhre),I have gastroesophageal reflux (reflux of stomach acid into the oesophagus),5
54360,107752,Keine der genannten,None of the above,84
54365,107756,Keines der genannten,Keines der genannten,89
54366,108575,Keine der genannten,None of the above,89
54368,146330,Keiner der genannten,None of the above,89
54371,107783,Keine der genannten,None of the above,89
54373,108315,Ja,Yes,26
54373,108316,Nein,No,63
54374,108579,Jetzt hochladen,Upload Now,55
54374,108580,Später hochladen,Upload Later,34
54380,107791,Ich verstehe und bestätige,I understand and confirm,55
54382,107792,Ich verstehe und bestätige,I understand and confirm,39
54805,108577,Normal: 90/60 bis 140/90,Normal: 90/60 to 140/90,20
54807,109839,Nein,No,20
55653,109852,Nein,No,20
55662,109874,Keines der genannten,None of the above,20
55664,109875,"2,5 mg Tirzepatid",2.5 mg Tirzepatide,18
55664,109876,5 mg Tirzepatid,5 mg Tirzepatide,2
55665,109881,Regelmäßig 1-mal wöchentlich,Regularly once a week,19
55665,109882,Seltener als 1-mal wöchentlich,Less often than once a week,1
55666,110611,Ich wende das Medikament lückenlos an.,I use the medication without interruption.,20
55667,109891,Diät – eigene Diät oder ein spezielles Programm,Diet - own diet or a special programme,11
55667,109892,Sport,Sport,14
55667,109893,Andere Medikamente,Other medication,1
55667,109894,Ernährungsberatung,Nutritional advice,4
55667,109895,Hypnose,Hypnosis,1
55667,109896,Abnehm-App,Weight loss app,4
55667,109898,Anderes,Other,1
55672,109903,Ich fühle mich aktiver / fitter.,I feel more active / fitter.,12
55672,109904,Ich fühle mich wohler in meinem Körper.,I feel more comfortable in my body.,10
55672,109905,Ich fühle mich selbstbewusster.,I feel more self-confident.,7
55672,109906,"Ich fühle mich motivierter, gesund zu leben.",I feel more motivated to live a healthy life.,18
55673,109918,Keine Nebenwirkungen,No side effects,20
55675,109919,Gelegentliche Übelkeit oder Erbrechen (z. B. kurz nach der Injektion),Occasional nausea or vomiting (e.g. shortly after injection),3
55675,109920,Durchfall oder Verstopfung,Diarrhoea or constipation,1
55675,109923,Schwindel,Dizziness,2
55675,109927,Keine Nebenwirkungen,No side effects,15
55676,109928,Ich vestehe und bestätige.,I understand and confirm.,5
55677,109929,Ich vestehe und bestätige.,I understand and confirm.,20
58858,113924,Normal - Zwischen 90/60 - 140/90,Normal - Between 90/60 - 140/90,4
58913,113927,Nein,No,4
58916,113934,Nein,No,4
58921,113966,Nichts davon,None of the above,4
58923,113967,Regelmäßig 1 x wöchentlich,Regularly 1 x weekly,4
58924,113970,Ich wende das Medikament lückenlos an.,I use the medication without any gaps.,4
58927,113975,Diät (eigene Diät oder ein Programm),Diet (own diet or a programme),3
58927,113976,Sport,Exercise,3
58927,113979,Abnehm-App,Weight loss app,2
58929,113986,Ich fühle mich aktiver/fitter,I feel more active/fitter,1
58929,113987,Ich fühle mich wohler in meinem Körper,I feel more comfortable in my body,2
58929,113988,Ich fühle mich selbstbewusster,I feel more confident,2
58929,113989,"Ich fühle mich motivierter, gesund zu leben",I feel more motivated to live healthy,3
58930,114000,Keine Nebenwirkungen,No side effects,4
58932,114006,Keine Nebenwirkungen,No side effects,3
58932,114007,Gelegentliche Übelkeit oder Erbrechen (z. B. nur kurzzeitig nach Injektion),Occasional nausea or vomiting (e.g. only for a short time after injection),1
58933,114010,Ich vestehe und bestätige.,I understand and confirm.,1
58937,114011,Ich vestehe und bestätige.,I understand and confirm.,4
58960,114013,0.25 mg Semaglutid,0.25 mg Semaglutide,4
59593,115444,Normal - Zwischen 90/60 - 140/90,Normal - Between 90/60 - 140/90,1
59648,115447,Nein,No,1
59651,115454,Nein,No,1
59656,115486,Nichts davon,None of the above,1
59658,115487,Regelmäßig 1 x wöchentlich,Regularly 1 x weekly,1
59659,115490,Ich wende das Medikament lückenlos an.,I use the medication without any gaps.,1
59662,115495,Diät (eigene Diät oder ein Programm),Diet (own diet or a programme),1
59664,115509,"Ich fühle mich motivierter, gesund zu leben",I feel more motivated to live healthy,1
59665,115520,Keine Nebenwirkungen,No side effects,1
59667,115521,Durchfall oder Verstopfung,Diarrhoea or constipation,1
59668,115530,Ich vestehe und bestätige.,I understand and confirm.,1
59672,115531,Ich vestehe und bestätige.,I understand and confirm.,1
59695,115534,0.5 mg Semaglutid,0.5 mg Semaglutide,1
61793,118321,Ja!,Yes!,12
61793,118322,"Nein, ich möchte auf meiner aktuellen Dosis bleiben","No, I would like to stay on my current dose",8
62344,119426,Normal: 90/60 bis 140/90,Normal: 90/60 to 140/90,3
62346,119429,Nein,No,3
62350,119436,Nein,No,3
62356,119458,Keines der genannten,None of the above,3
62358,119459,"2,5 mg Tirzepatid",2.5 mg Tirzepatide,3
62359,119465,Regelmäßig 1-mal wöchentlich,Regularly once a week,3
62360,119468,Ich wende das Medikament lückenlos an.,I use the medication without interruption.,3
62361,119471,Diät – eigene Diät oder ein spezielles Programm,Diet - own diet or a special programme,1
62361,119472,Sport,Sport,3
62366,119484,Ich fühle mich aktiver / fitter.,I feel more active / fitter.,1
62366,119485,Ich fühle mich wohler in meinem Körper.,I feel more comfortable in my body.,2
62366,119486,Ich fühle mich selbstbewusster.,I feel more self-confident.,1
62366,119487,"Ich fühle mich motivierter, gesund zu leben.",I feel more motivated to live a healthy life.,2
62367,119498,Keine Nebenwirkungen,No side effects,3
62369,119499,Gelegentliche Übelkeit oder Erbrechen (z. B. kurz nach der Injektion),Occasional nausea or vomiting (e.g. shortly after injection),1
62369,119507,Keine Nebenwirkungen,No side effects,2
62370,119508,Ich vestehe und bestätige.,I understand and confirm.,1
62371,119509,Ich vestehe und bestätige.,I understand and confirm.,3
62376,119510,Ja!,Yes!,3
70193,131687,Normal - Zwischen 90/60 - 140/90,Normal - Zwischen 90/60 - 140/90,26
70193,131688,Hoch - Über 140/90,Hoch - Über 140/90,4
70195,131689,"Ja,   ich habe damit mehr als 4% Körpergewicht in 3 Monaten verloren","Yes,             I lost more than 4% body weight in 3 months with it",7
70195,131690,"Ja,   ich habe damit weniger als 4% Körpergewicht in 3 Monaten verloren","Yes,       I lost less than 4% body weight in 3 months with it",17
70195,131691,Nein,No,6
70196,131694,Starke Müdigkeit / Erschöpfung,Severe fatigue/exhaustion,1
70196,131696,Nichts davon,None of the above,24
70199,131698,Nein,No,30
70208,131729,0.25 mg Semaglutid,0.25 mg Semaglutide,24
70208,131730,0.5 mg Semaglutid,0.5 mg Semaglutide,3
70208,131731,1 mg Semaglutid,1 mg Semaglutide,3
70209,131734,Ja!,Yes!,25
70209,131735,"Nein, ich möchte auf meiner aktuellen Dosis bleiben","No, I would like to stay on my current dose",5
70218,131736,Regelmäßig 1 x wöchentlich,Regularly 1 x weekly,30
70219,131739,Ich wende das Medikament lückenlos an.,I use the medication without any gaps.,30
70220,131742,Ich fühle mich aktiver/fitter,I feel more active/fitter,10
70220,131743,Ich fühle mich wohler in meinem Körper,I feel more comfortable in my body,13
70220,131744,Ich fühle mich selbstbewusster,I feel more confident,5
70220,131745,"Ich fühle mich motivierter,   gesund zu leben",I feel more motivated to live healthy,16
70220,131746,Ich spüre keine Veränderung,I don't feel any change,7
70224,131748,Diät (eigene Diät oder ein Programm),Diet (own diet or a programme),14
70224,131749,Sport,Exercise,19
70224,131750,Ernährungsberatung,Dietary advice,2
70224,131752,Abnehm-App,Weight loss app,4
70224,131755,Andere,Other,1
70225,131757,Ja,Yes,1
70225,131758,Nein,No,29
70229,131763,Keine der genannten,None of the above,1
70231,131764,Ja,Yes,4
70231,131765,Nein,No,26
70235,131775,Keine Nebenwirkungen,No side effects,30
70237,131776,Gelegentliche Übelkeit oder Erbrechen (z. B. nur kurzzeitig nach Injektion),Occasional nausea or vomiting (e.g. only for a short time after injection),3
70237,131777,Durchfall oder Verstopfung,Diarrhoea or constipation,1
70237,131779,Schwäche- oder Müdigkeitsgefühl,Feeling weak or tired,1
70237,131780,Schwindel,Dizziness,1
70237,131784,Keine Nebenwirkungen,No side effects,25
70238,131785,Ich vestehe und bestätige.,I understand and confirm.,5
70240,131789,Ich verstehe und bestätige,I understand and confirm,30
70294,131793,Normal - Zwischen 90/60 - 140/90,Normal - Zwischen 90/60 - 140/90,1
70296,131797,Nein,No,1
70300,131804,Nein,No,1
70309,131835,0.25 mg Semaglutid,0.25 mg Semaglutide,1
70310,131840,Ja!,Yes!,1
70319,131842,Regelmäßig 1 x wöchentlich,Regularly 1 x weekly,1
70320,131845,Ich wende das Medikament lückenlos an.,I use the medication without any gaps.,1
70321,131848,Ich fühle mich aktiver/fitter,I feel more active/fitter,1
70321,131849,Ich fühle mich wohler in meinem Körper,I feel more comfortable in my body,1
70321,131850,Ich fühle mich selbstbewusster,I feel more confident,1
70321,131851,"Ich fühle mich motivierter,   gesund zu leben",I feel more motivated to live healthy,1
70321,131852,Ich spüre keine Veränderung,I don't feel any change,1
70325,131855,Sport,Exercise,1
70325,131856,Ernährungsberatung,Dietary advice,1
70326,131864,Nein,No,1
70332,131871,Nein,No,1
70336,131881,Keine Nebenwirkungen,No side effects,1
70338,131890,Keine Nebenwirkungen,No side effects,1
70341,131895,Ich verstehe und bestätige,I understand and confirm,1
72113,135087,Normal - Zwischen 90/60 - 140/90,Normal - Zwischen 90/60 - 140/90,6
72115,135089,"Ja,   ich habe damit mehr als 4% Körpergewicht in 3 Monaten verloren","Yes,             I lost more than 4% body weight in 3 months with it",1
72115,135090,"Ja,   ich habe damit weniger als 4% Körpergewicht in 3 Monaten verloren","Yes,       I lost less than 4% body weight in 3 months with it",1
72115,135091,Nein,No,4
72116,135096,Nichts davon,None of the above,2
72119,135098,Nein,No,6
72128,135129,0.25 mg Semaglutid,0.25 mg Semaglutide,5
72128,135130,0.5 mg Semaglutid,0.5 mg Semaglutide,1
72129,135134,Ja!,Yes!,5
72129,135135,"Nein, ich möchte auf meiner aktuellen Dosis bleiben","No, I would like to stay on my current dose",1
72138,135136,Regelmäßig 1 x wöchentlich,Regularly 1 x weekly,6
72139,135139,Ich wende das Medikament lückenlos an.,I use the medication without any gaps.,5
72139,135140,Ich habe eine Einnahmepause von unter 2 Wochen.,I have a break in taking the medication of less than 2 weeks.,1
72140,135142,Ich fühle mich aktiver/fitter,I feel more active/fitter,3
72140,135143,Ich fühle mich wohler in meinem Körper,I feel more comfortable in my body,2
72140,135145,"Ich fühle mich motivierter,   gesund zu leben",I feel more motivated to live healthy,1
72140,135146,Ich spüre keine Veränderung,I don't feel any change,3
72141,135147,Ich verstehe und bestätige,I understand and confirm,1
72144,135148,Diät (eigene Diät oder ein Programm),Diet (own diet or a programme),3
72144,135149,Sport,Exercise,3
72144,135150,Ernährungsberatung,Dietary advice,1
72145,135158,Nein,No,6
72151,135165,Nein,No,6
72155,135175,Keine Nebenwirkungen,No side effects,6
72157,135176,Gelegentliche Übelkeit oder Erbrechen (z. B. nur kurzzeitig nach Injektion),Occasional nausea or vomiting (e.g. only for a short time after injection),1
72157,135184,Keine Nebenwirkungen,No side effects,5
72158,135185,Ich vestehe und bestätige.,I understand and confirm.,1
72160,135189,Ich verstehe und bestätige,I understand and confirm,6
72763,135882,Keine der genannten,none of the above,1
72764,135890,Abnehm App,Weight loss app,1
72765,135896,Sonstiges,Other.,1
72767,135903,Mehrmals pro Woche,Several times a week,1
72768,135908,Normal - Zwischen 90/60 - 140/90,Normal 90/60 - 140/90,1
72769,135910,Nein,No,1
72771,135914,1-5 Jahre,1-5 years,1
72772,135918,Nein,No,1
72785,135919,Ich verstehe und bestätige.,I understand and confirm.,1
72809,135922,"Nein, ich habe meine Gewichtsabnahmeziele nicht erreicht.","No,   I did not meet my weight loss goals.",1
72817,135925,Keine der genannten,"None of the above"".",1
72823,135927,Keine der genannten,None of the above,1
72827,135936,Keine der genannten,None of the above,1
72832,135946,Keine der genannten,None of the above,1
72836,135953,Keine der genannten,None of the above,1
72862,135959,Keine der genannten,None of the Above,1
74932,139587,Prädiabetes,Prediabetes,15
74932,139588,Obstruktive Schlafapnoe,Obstructive sleep apnoea,4
74932,139589,Dyslipidämie (Fettstoffwechselstörung),Dyslipidaemia (lipid metabolism disorder),1
74932,139590,Erhöhte Cholesterin- und / oder Triglyceridwerte,Elevated cholesterol and/or triglyceride levels,19
74932,139591,Niedriger HDL-Cholesterinspiegel,Low HDL cholesterol level,1
74932,139592,Keine der genannten,None of the above,123
74933,139593,Prädiabetes,Prediabetes,8
74933,139594,Obstruktive Schlafapnoe,Obstructive sleep apnoea,1
74933,139595,Dyslipidämie (Fettstoffwechselstörung),Dyslipidaemia (lipid metabolism disorder),3
74933,139596,Erhöhte Cholesterin- und / oder Triglyceridwerte,Elevated cholesterol and/or triglyceride levels,8
74933,139597,Niedriger HDL-Cholesterinspiegel,Low HDL cholesterol level,2
74933,139598,Keine der genannten,None of the above,8
74934,139599,Weniger als 1 Jahr,Less than 1 year,2
74934,139600,1-5 Jahre,1-5 years,47
74934,139601,Mehr als 5 Jahre,More than 5 years,72
74934,139602,Seit der Kindheit oder Jugend,Since childhood or adolescence,51
74936,139603,Nein,No,157
74936,139604,"Ja, ich habe damit weniger als 4 % Körpergewicht in 3 Monaten verloren.","Yes,  I lost less than 4% of my body weight in 3 months.",8
74936,139605,"Ja, ich habe damit mehr als 4 % Körpergewicht in 3 Monaten verloren.","Yes,  I lost more than 4% of my body weight in 3 months.",7
74937,139608,Ich hatte starke Übelkeit oder Magen-Darm-Beschwerden.,I had severe nausea or gastrointestinal complaints.,1
74937,139609,"Ich hatte andere Nebenwirkungen, die dazu geführt haben, dass ich die Behandlung abgebrochen habe.",I had other side effects that caused me to discontinue treatment.,1
74937,139610,"Ich hatte keine schwerwiegenden Nebenwirkungen, die mich dazu veranlasst haben, die Behandlung abzubrechen.",I had no serious side effects that caused me to discontinue treatment.,17
74938,139611,Diät - eigene Diät oder ein Programm,Diet - own diet or a programme,146
74938,139612,Sport,Sport,128
74938,139613,Medikamente,Medication,9
74938,139614,Ernährungsberatung,Nutritional advice,60
74938,139615,Hypnose,Hypnosis,8
74938,139616,Abnehm-App,Weight loss app,82
74938,139617,Anderes,Other,9
74938,139619,"Krankenhausaufenthalt,   Kur oder Reha","Hospital stay,     cure or rehab",4
74940,139620,"Ja, ich habe mindestens 5 % meines Gesamtkörpergewichts verloren.","Yes,   I have lost at least 5% of my total body weight.",20
74940,139621,"Nein, ich habe weniger als 5 % meines Gesamtkörpergewichts verloren.","No,   I have lost less than 5% of my total body weight.",152
74943,139622,Ich bin nach einer Mahlzeit satt und höre auf zu essen.,I feel full after a meal and stop eating.,16
74943,139623,Ich bin nach einer Mahlzeit satt und esse trotzdem weiter.,I feel full after a meal and still keep eating.,54
74943,139624,Unabhängig von den Mahlzeiten verspüre ich den ganzen Tag Hunger.,"I feel hungry all day long, regardless of meals.",87
74943,139625,Ich esse unabhängig von meinem Hungergefühl.,I eat regardless of my hunger.,72
74943,139626,Sonstiges,Other,13
74944,139627,Täglich,Daily,4
74944,139628,Mehrmals pro Woche,Several times a week,52
74944,139629,Einmal pro Woche,Once a week,45
74944,139630,Selten,Rarely,55
74944,139631,Gar nicht,Not at all,16
74953,139633,Normal: 90/60 bis 140/90,Normal: 90/60 to 140/90,162
74953,139634,Hoch: Über 140/90,High: Over 140/90,10
74954,139635,Ich habe gastroösophagealen Reflux (Rückfluss von Magensäure in die Speiseröhre),I have gastroesophageal reflux (reflux of stomach acid into the oesophagus),6
74954,139636,Keine der genannten,None of the above,166
74959,139640,Keines der genannten,Keines der genannten,172
74960,139647,Keine der genannten,None of the above,172
74962,139657,Keine der genannten,None of the above,172
74965,139665,Keine der genannten,None of the above,172
74967,139666,Ja,Yes,24
74967,139667,Nein,No,148
74968,139668,Jetzt hochladen,Upload Now,103
74968,139669,Später hochladen,Upload Later,69
74974,139671,Ich verstehe und bestätige,I understand and confirm,104
74976,139673,Ich verstehe und bestätige,I understand and confirm,85
80286,145648,"Ich hatte keine schweren Nebenwirkungen, aufgrund derer ich die Behandlung abgebrochen habe.",I did not have severe side effects due to which I discontinued treatment.,2
80287,145649,Täglich,Daily,1
80287,145650,Mehrmals pro Woche,Several times a week,13
80287,145651,Einmal pro Woche,Once a week,16
80287,145652,Selten,Rarely,11
80287,145653,Gar nicht,Not at all,2
80288,145655,Normal - Zwischen 90/60 - 140/90,Normal 90/60 - 140/90,39
80288,145656,Hoch - Über 140/90,High 140/90,4
80289,145657,Nein,No,41
80289,145658,"Ja, ich habe damit mehr als 4% Körpergewicht in 3 Monaten verloren","Yes,       I lost more than 4% body weight in 3 months with it",1
80289,145659,"Ja, ich habe damit weniger als 4% Körpergewicht in 3 Monaten verloren","Yes,       I lost less than 4% body weight in 3 months with it",1
80291,145660,Weniger als 1 Jahr,Less than 1 year,1
80291,145661,1-5 Jahre,1-5 years,16
80291,145662,Mehr als 5 Jahre,More than 5 years,16
80291,145663,Seit der Kindheit oder Jugend,Since childhood or adolescence,10
80292,145664,Ja,Yes,11
80292,145665,Nein,No,32
80295,145666,Nein,No,2
80295,145667,Diät - eigene Diät oder ein Programm,Diet - own diet or a program,21
80295,145668,Sport,Exercise,13
80295,145669,Ernährungsberatung,Nutritional counselling,2
80295,145670,Medikamente,medication,1
80295,145672,Abnehm-App,Weight loss app,3
80295,145673,Anderes,Other,1
80305,145675,Ich verstehe und bestätige.,I understand and confirm.,25
80323,145676,Ich verstehe und bestätige.,I understand and confirm.,3
80331,145679,Keine der genannten,"None of the above"".",43
80337,145681,Keine der genannten,None of the above,43
80339,145685,Keine der genannten,None of the above,43
80341,145698,Keiner der genannten,None of the above,43
80343,145701,Keine der genannten,None of the above,43
80346,145706,Foto sofort hochladen,Upload photo immediately,25
80346,145707,Später hochladen,Upload photo later,18
80352,145710,Ich verstehe und bestätige.,I understand and confirm.,21
80366,145711,Prädiabetes,Prediabetes,4
80366,145712,obstruktive Schlafapnoe,Obstructive Sleep Apnoea,1
80366,145714,Erhöhung des Cholesterins und / oder der Triglyceriden im Blut,Elevation of Cholesterol and / or Triglycerides in the Blood,1
80366,145715,niedriger HDL-Cholesterinspiegel,Low HDL Cholesterol Level,2
80366,145716,Keine der genannten,None of the Above,3
80372,145720,Normal: 90/60 bis 140/90,Normal: 90/60 to 140/90,24
80372,145721,Hoch: Über 140/90,High: Above 140/90,3
80374,145723,Nein,No,27
80378,145730,Nein,No,27
80384,145752,Keines der genannten,None of the above,27
80386,145753,"2,5 mg Tirzepatid",2.5 mg Tirzepatide,21
80386,145754,5 mg Tirzepatid,5 mg Tirzepatide,2
80386,145756,10 mg Tirzepatid,10 mg Tirzepatide,2
80386,145758,15 mg Tirzepatid,15 mg Tirzepatide,2
80387,145759,Regelmäßig 1-mal wöchentlich,Regularly once a week,26
80387,145761,Häufiger als 1-mal wöchentlich,More often than once a week,1
80388,145762,Ich wende das Medikament lückenlos an.,I use the medication without interruption.,26
80388,145763,Ich habe eine Einnahmepause von unter 4 Wochen.,I have a break of less than 4 weeks.,1
80389,145765,Diät – eigene Diät oder ein spezielles Programm,Diet - own diet or a special programme,22
80389,145766,Sport,Sport,19
80389,145768,Ernährungsberatung,Nutritional advice,2
80389,145770,Abnehm-App,Weight loss app,6
80389,145771,Anderes,Other,1
80394,145778,Ich fühle mich aktiver / fitter.,I feel more active / fitter.,15
80394,145779,Ich fühle mich wohler in meinem Körper.,I feel more comfortable in my body.,17
